id,project_name,repo_name,language,version_tag,repo_url,version_start_date,version_end_date,i1_robustness,i2_scalability,i3_usability,i4_effectiveness,i5_corrections,i6_improvements,i7_security,i8_testing_process,i9_coverage,i10_license_type,i11_dual_licensing,i12_commercial_resources,i13_commercial_training,i14_industry_adoption,i15_ngo_support,i16_corporate_support,i17_donations,i18_installability,i19_configurability,i20_self_contained,i21_resource_utilization,i22_complexity,i23_modularity,i24_instability,i25_cohesion,i26_governance_model,i27_project_road_map,i28_code_of_conduct,i29_coding_standards,i30_documentation_standards,i31_devs_attracted,i32_devs_active,i33_nof_open_issues,i34_open_vs_closed_issues,i35_documendation,i36_localization_process,i37_issue_tracking,i38_user_guide,g1_architecture,g2_maintenability,g3_security_testing,g4_license,g5_market,g6_support,g7_initialization,g8_dependencies,g9_reuse,g10_dev_process_governance,g11_developer_base,g12_user_base,d1_source_code,d2_business_legal,d3_integration_reuse,d4_social,analysis_complete,auto_expert_value
54,WP Gutenberg,WordPress/gutenberg,PHP,5.4,https://github.com/WordPress/gutenberg,2019-04-03,2019-04-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,WP Gutenberg,WordPress/gutenberg,PHP,5.5,https://github.com/WordPress/gutenberg,2019-04-17,2019-04-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,WP Gutenberg,WordPress/gutenberg,PHP,5.6,https://github.com/WordPress/gutenberg,2019-05-01,2019-05-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,WP Gutenberg,WordPress/gutenberg,PHP,5.7,https://github.com/WordPress/gutenberg,2019-05-15,2019-05-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,WP Gutenberg,WordPress/gutenberg,PHP,5.8,https://github.com/WordPress/gutenberg,2019-05-29,2019-06-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,WP Gutenberg,WordPress/gutenberg,PHP,5.9,https://github.com/WordPress/gutenberg,2019-06-12,2019-06-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,WP Gutenberg,WordPress/gutenberg,PHP,6,https://github.com/WordPress/gutenberg,2019-06-26,2019-07-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,WP Gutenberg,WordPress/gutenberg,PHP,6.1,https://github.com/WordPress/gutenberg,2019-07-10,2019-07-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,WP Gutenberg,WordPress/gutenberg,PHP,6.2,https://github.com/WordPress/gutenberg,2019-07-31,2019-08-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,WP Gutenberg,WordPress/gutenberg,PHP,6.3,https://github.com/WordPress/gutenberg,2019-08-14,2019-08-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,WP Gutenberg,WordPress/gutenberg,PHP,6.4,https://github.com/WordPress/gutenberg,2019-08-28,2019-09-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,WP Gutenberg,WordPress/gutenberg,PHP,6.5,https://github.com/WordPress/gutenberg,2019-09-18,2019-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,WP Gutenberg,WordPress/gutenberg,PHP,6.6,https://github.com/WordPress/gutenberg,2019-10-02,2019-10-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,WP Gutenberg,WordPress/gutenberg,PHP,6.7,https://github.com/WordPress/gutenberg,2019-10-16,2019-10-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,WP Gutenberg,WordPress/gutenberg,PHP,6.8,https://github.com/WordPress/gutenberg,2019-10-30,2019-11-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,WP Gutenberg,WordPress/gutenberg,PHP,6.9,https://github.com/WordPress/gutenberg,2019-11-13,2019-11-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,WP Gutenberg,WordPress/gutenberg,PHP,7,https://github.com/WordPress/gutenberg,2019-11-27,2019-12-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,WP Gutenberg,WordPress/gutenberg,PHP,7.1,https://github.com/WordPress/gutenberg,2019-12-11,2020-01-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,WP Gutenberg,WordPress/gutenberg,PHP,7.2,https://github.com/WordPress/gutenberg,2020-01-08,2020-01-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,WP Gutenberg,WordPress/gutenberg,PHP,7.3,https://github.com/WordPress/gutenberg,2020-01-22,2020-02-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,WP Gutenberg,WordPress/gutenberg,PHP,7.4,https://github.com/WordPress/gutenberg,2020-02-05,2020-02-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,WP Gutenberg,WordPress/gutenberg,PHP,7.5,https://github.com/WordPress/gutenberg,2020-02-12,2020-02-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,WP Gutenberg,WordPress/gutenberg,PHP,7.6,https://github.com/WordPress/gutenberg,2020-02-26,2020-03-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,WP Gutenberg,WordPress/gutenberg,PHP,7.7,https://github.com/WordPress/gutenberg,2020-03-12,2020-03-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,WP Gutenberg,WordPress/gutenberg,PHP,7.8,https://github.com/WordPress/gutenberg,2020-03-26,2020-04-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,WP Gutenberg,WordPress/gutenberg,PHP,7.9,https://github.com/WordPress/gutenberg,2020-04-16,2020-04-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,WP Gutenberg,WordPress/gutenberg,PHP,8,https://github.com/WordPress/gutenberg,2020-04-29,2020-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,WP Gutenberg,WordPress/gutenberg,PHP,8.1,https://github.com/WordPress/gutenberg,2020-05-13,2020-05-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
